Country Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Finland,192,7,2,3,2,6,2,1,5503,59,0,81,,100
France,164,9,4,4,4,7,3,2,64721,766,3,83,,99
Gabon,48,92,47,52,43,60,34,22,1980,58,3,66,82,
Gambia,29,168,65,70,61,82,42,28,2039,79,5,61,42,75
Georgia,126,47,11,12,9,40,10,7,3925,55,1,73,100,99
Germany,164,9,4,4,4,7,3,2,81915,711,3,81,,99
Ghana,34,127,59,64,53,80,41,27,28207,870,51,63,71,87
Greece,164,11,4,4,4,9,3,2,11184,94,0,81,97,96
Grenada,100,22,16,17,15,18,14,8,107,2,0,74,,96
Guatemala,72,82,29,31,26,60,24,14,16582,417,12,73,81,85
Guinea,14,235,89,94,84,139,58,25,12396,442,39,60,32,76
Guinea–Bissau,15,219,88,96,80,130,58,38,1816,66,6,57,46,68
Guyana,66,60,32,37,28,46,27,20,773,16,1,67,86,81
Haiti,27,145,67,73,61,100,51,25,10847,263,17,63,49,
Holy See,,,,,,,,,1,,,,,
Honduras,92,58,19,21,17,45,16,10,9113,198,4,74,89,93
Hungary,157,17,5,6,5,15,4,3,9753,88,0,76,,91
Iceland,192,6,2,2,2,5,2,1,332,4,0,83,,99
India,53,126,43,42,44,88,35,25,1324171,25244,1081,69,69,92
Indonesia,76,84,26,29,23,62,22,14,261115,4991,131,69,95,90
Iran (Islamic Republic of),106,57,15,16,15,44,13,10,80277,1355,20,76,85,99
Iraq,68,54,31,34,28,42,26,18,37203,1212,38,70,44,92
Ireland,164,9,4,4,3,8,3,2,4726,69,0,81,,95
Israel,164,12,4,4,3,10,3,2,8192,166,1,82,,97
Italy,179,10,3,4,3,8,3,2,59430,495,2,83,99,97
Jamaica,106,30,15,17,13,25,13,11,2881,48,1,76,80,92
Japan,179,6,3,3,3,5,2,1,127749,1053,3,84,,100
Jordan,95,37,18,19,17,30,15,11,9456,243,4,74,98,89
Kazakhstan,126,52,11,13,10,44,10,6,17988,385,4,70,100,87
Kenya,47,98,49,53,45,63,36,23,48462,1504,74,67,79,85
Kiribati,40,96,54,59,49,69,42,23,114,3,0,66,,95
Kuwait,142,18,8,9,8,15,7,4,4053,65,1,75,96,93
Kyrgyzstan,85,65,21,24,19,54,19,12,5956,152,3,71,99,89
Lao People's Democratic Republic,31,162,64,70,58,111,49,29,6758,163,10,67,58,93
Latvia,157,17,5,5,4,13,4,2,1971,20,0,75,100,96
Lebanon,142,33,8,8,8,27,7,5,6007,86,1,80,91,82
Lesotho,8,91,94,101,86,73,72,39,2204,61,6,54,77,80
Liberia,27,258,67,72,62,172,51,23,4614,157,10,63,43,38
Libya,118,42,13,14,12,36,11,7,6293,127,2,72,,
Liechtenstein,,,,,,,,,38,,,,,94
Lithuania,157,15,5,6,5,12,4,3,2908,31,0,75,100,98
Luxembourg,192,9,2,3,2,7,2,2,576,6,0,82,,93
Madagascar,50,160,46,51,42,97,34,19,24895,812,37,66,72,77
Malawi,38,232,55,60,50,137,39,23,18092,653,36,63,62,97
Malaysia,142,17,8,9,8,14,7,4,31187,524,4,75,93,98
Maldives,133,94,9,9,8,68,7,5,428,8,0,77,99,95
Mali,5,254,111,115,105,130,68,36,17995,758,82,58,33,56
Malta,151,11,7,7,6,10,6,5,429,4,0,81,93,98
Marshall Islands,59,51,35,39,31,40,29,16,53,,0,,98,77
Mauritania,18,117,81,88,74,71,54,34,4301,145,12,63,46,79
Mauritius,114,23,14,15,12,20,12,8,1262,13,0,75,93,96
Mexico,106,46,15,16,13,37,13,8,127540,2330,34,77,94,95
Micronesia (Federated States of),65,55,33,37,30,43,28,17,105,2,0,69,,84
Monaco,179,8,3,4,3,6,3,2,38,,0,,,
Mongolia,95,109,18,21,14,77,15,10,3027,73,1,69,98,97
Montenegro,164,17,4,4,4,15,4,2,629,7,0,77,98,93
Montserrat,,,,,,,,,5,,,,,92
Morocco,74,80,27,30,24,63,23,18,35277,709,19,76,69,98
Mozambique,24,248,71,76,67,165,53,27,28829,1105,78,58,51,89
Myanmar,44,116,51,55,46,82,40,25,52885,944,48,67,76,95
Namibia,51,71,45,49,41,48,32,18,2480,72,3,64,88,90
Nauru,59,58,35,38,31,45,29,22,11,,0,,,86
Nepal,59,141,35,37,32,98,28,21,28983,573,20,70,60,97
Netherlands,164,8,4,4,3,7,3,3,16987,179,1,82,,98
New Zealand,157,11,5,6,5,9,5,3,4661,62,0,82,,99
Nicaragua,88,68,20,22,17,51,17,9,6150,121,2,75,78,97
Niger,11,329,91,95,87,133,51,26,20673,967,86,60,15,62
Nigeria,6,213,104,110,98,126,67,34,185990,7141,733,53,51,64
Niue,82,14,22,25,20,12,19,12,2,,0,,,
Norway,179,9,3,3,2,7,2,2,5255,62,0,82,,100
Oman,126,39,11,12,10,32,9,5,4425,81,1,77,93,95
Pakistan,20,139,79,82,75,106,64,46,193203,5439,424,66,57,74
Palau,100,36,16,18,14,31,14,8,22,,0,,97,80
Panama,100,31,16,18,15,26,14,10,4034,79,1,78,94,93
Papua New Guinea,40,88,54,59,50,64,42,24,8085,221,12,66,57,86
Paraguay,88,47,20,22,18,37,17,11,6725,140,3,73,95,89
Peru,106,80,15,17,14,57,12,8,31774,615,9,75,94,94
Philippines,74,58,27,30,24,41,22,13,103320,2386,64,69,96,96
Poland,157,17,5,5,4,15,4,3,38224,365,2,78,,96
Portugal,164,15,4,4,3,12,3,2,10372,83,0,81,94,98
Qatar,133,21,9,9,8,18,7,4,2570,25,0,78,98,92
Republic of Korea,179,16,3,4,3,14,3,2,50792,449,2,82,,98
Republic of Moldova,100,33,16,18,14,27,14,12,4060,43,1,72,99,87
Romania,133,31,9,10,8,25,8,4,19778,192,2,75,99,87
Russian Federation,142,22,8,9,7,18,7,3,143965,1852,14,71,100,97
Rwanda,57,151,39,42,35,93,29,17,11918,370,14,67,68,95
Saint Kitts and Nevis,133,32,9,10,8,26,8,6,55,,0,,,78
Saint Lucia,118,21,13,15,12,18,12,9,178,2,0,75,,93
Saint Vincent and the Grenadines,98,24,17,18,15,20,15,10,110,2,0,73,,94
Samoa,98,31,17,19,16,26,15,9,195,5,0,75,99,96
San Marino,179,11,3,3,3,10,3,1,33,,0,,,93
Sao Tome and Principe,62,105,34,37,30,67,26,15,200,7,0,67,90,95
Saudi Arabia,118,45,13,14,12,36,11,7,32276,626,8,75,94,98
Senegal,48,140,47,51,43,72,34,21,15412,542,25,67,43,71
Serbia,153,28,6,6,5,24,5,4,8820,94,1,75,99,96
Seychelles,114,17,14,16,13,14,12,9,94,2,0,74,94,95
Sierra Leone,4,262,114,120,106,156,83,33,7396,258,29,52,32,99
Singapore,179,8,3,3,3,6,2,1,5622,50,0,83,97,
Slovakia,153,15,6,6,5,13,5,3,5444,57,0,77,,
Slovenia,192,10,2,3,2,9,2,1,2078,21,0,81,,98
Solomon Islands,76,38,26,28,23,31,22,10,599,17,0,71,77,71
Somalia,1,181,133,139,126,109,83,39,14318,609,79,56,,
South Africa,53,57,43,48,39,45,34,12,56015,1176,51,63,94,83
South Sudan,11,256,91,96,85,152,59,38,12231,431,38,57,27,31
Spain,179,9,3,4,3,7,3,2,46348,415,1,83,98,99
Sri Lanka,133,21,9,10,9,18,8,5,20798,323,3,75,91,99
State of Palestine,92,45,19,21,18,36,17,11,4791,150,3,73,97,90
Sudan,29,131,65,70,60,82,45,29,39579,1290,83,64,54,54
Suriname,88,46,20,22,18,40,18,11,558,10,0,71,93,93
Swaziland,25,66,70,76,65,50,52,21,1343,39,3,58,83,80
Sweden,179,7,3,3,3,6,2,2,9838,119,0,82,,99
Switzerland,164,8,4,4,4,7,4,3,8402,86,0,83,,93
Syrian Arab Republic,95,37,18,19,16,30,14,9,18430,427,7,70,81,67
Tajikistan,53,107,43,48,38,84,37,20,8735,251,11,71,99,98
Thailand,123,38,12,14,11,31,11,7,68864,726,9,75,93,91
The former Yugoslav Republic of Macedonia,123,37,12,13,11,34,11,8,2081,23,0,76,96,91
Timor–Leste,46,175,50,54,46,132,42,22,1269,44,2,69,58,96
Togo,21,145,76,82,70,89,51,26,7606,256,19,60,64,95
Tokelau,,,,,,,,,1,,,,,
Tonga,100,22,16,15,18,19,14,7,107,3,0,73,99,88
Trinidad and Tobago,92,30,19,20,17,26,17,13,1365,19,0,71,,95
Tunisia,114,57,14,15,12,44,12,8,11403,210,3,76,79,99
Turkey,118,74,13,13,12,56,11,7,79512,1294,16,76,96,94
Turkmenistan,44,86,51,60,42,70,43,22,5663,144,7,68,,
Turks and Caicos Islands,,,,,,,,,35,,,,,
Tuvalu,78,57,25,28,23,44,21,17,11,,0,,,84
Uganda,43,175,53,58,48,104,38,21,41488,1715,90,60,70,94
Ukraine,133,19,9,10,8,17,8,5,44439,479,4,72,100,96
United Arab Emirates,142,17,8,9,7,14,7,4,9270,92,1,77,90,93
United Kingdom,164,9,4,5,4,8,4,3,65789,805,3,82,,100
United Republic of Tanzania,36,179,57,60,53,108,40,22,55572,2087,117,66,78,80
United States,151,11,7,7,6,9,6,4,322180,4003,26,79,,94
Uruguay,133,23,9,10,8,21,8,5,3444,49,0,77,99,94
Uzbekistan,80,72,24,27,21,59,21,14,31447,663,16,71,100,95
Vanuatu,73,36,28,30,25,29,23,12,270,7,0,72,74,86
Venezuela (Bolivarian Republic of),100,30,16,18,15,25,14,10,31568,602,10,75,97,90
Viet Nam,82,51,22,25,18,37,17,12,94569,1582,34,76,94,98
Yemen,38,126,55,59,51,88,43,27,27584,867,48,65,,85
Zambia,33,182,63,68,58,110,44,23,16591,620,39,62,83,87
Zimbabwe,37,75,56,62,51,50,40,23,16150,535,30,61,89,86
